Brand,Model,Year,Mileage,Engine,Fuel_type,Transmission,Ext_col,Int_col,Accident,Clean_title,Price
Bentley,Continental GTC Base,2011,20200,552.0HP 6.0L 12 Cylinder Engine Flex Fuel Capability,E85 Flex Fuel,6-Speed A/T,Black,Black,None reported,Yes,79950
Honda,Passport Elite,2023,2978,3.5 Liter SOHC,Gasoline,Automatic,Gray,Lunar Silver Metallic,None reported,,45498
Dodge,Sprinter 2500,2007,189719,3.0L V6 Cylinder Engine Diesel Fuel,Diesel,5-Speed A/T,Gray,White,At least 1 accident or damage reported,Yes,14000
BMW,M850 i xDrive,2019,9949,4.4 Liter DOHC Twin Turbo,Gasoline,Automatic,Black,Blue,None reported,,75798
Lucid,Air Grand Touring,2022,3552,536.0HP Electric Motor Electric Fuel System,,1-Speed A/T,Beige,Red,None reported,Yes,119999
Audi,A7 Premium,2012,54000,310.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,Gasoline,8-Speed A/T,Brown,Black,At least 1 accident or damage reported,Yes,36880
Chevrolet,Silverado 1500 Custom Trail Boss,2021,51351,5.3L V8 16V GDI OHV,Gasoline,Automatic,Jet Black,Black,None reported,Yes,43147
MINI,Convertible John Cooper Works,2017,24280,228.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Gasoline,6-Speed A/T,Black,Black,At least 1 accident or damage reported,Yes,29000
Toyota,Avalon Touring,2016,89148,268.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Gasoline,A/T,Black,Black,None reported,Yes,17500
Porsche,Cayenne Platinum Edition,2017,73043,300.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,Gasoline,8-Speed A/T,Black,White,None reported,Yes,30990
Mercedes-Benz,AMG C 63 S,2017,60000,503.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,Gasoline,Transmission w/Dual Shift Mode,Black,Gray,At least 1 accident or damage reported,Yes,52500
Honda,CR-V EX-L,2016,73549,2.4L I4 16V GDI DOHC,Gasoline,Automatic CVT,Black,Mountain Air Metallic,At least 1 accident or damage reported,,20848
Hummer,H2 Base,2005,110900,325.0HP 6.0L 8 Cylinder Engine Gasoline Fuel,Gasoline,A/T,Black,Gray,None reported,Yes,19500
Porsche,911 Carrera S,2013,39000,400.0HP 3.8L Flat 6 Cylinder Engine Gasoline Fuel,Gasoline,7-Speed A/T,Black,Blue,None reported,Yes,73000
Mercedes-Benz,CLA-Class CLA 250,2016,120000,208.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Gasoline,Transmission w/Dual Shift Mode,Black,Black,None reported,Yes,19800
Chrysler,300 Touring,2009,134602,250.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Gasoline,Transmission w/Dual Shift Mode,Black,Blue,None reported,Yes,7500
Nissan,Rogue SV,2023,1094,1.5L I3 12V GDI DOHC Turbo,Gasoline,Automatic CVT,Light Gray,Caspian Blue,None reported,,30999
Audi,A3 2.0T,2010,83500,200.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Gasoline,Transmission w/Dual Shift Mode,Black,Silver,None reported,Yes,6500
Ford,Mustang GT Premium,2014,37060,420.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,Gasoline,6-Speed M/T,Black,Black,None reported,Yes,28500
Acura,RL Technology,2010,97700,300.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,Gasoline,Transmission w/Dual Shift Mode,Beige,Blue,None reported,Yes,10995
Volvo,XC90 Hybrid T8 R-Design,2018,40000,400.0HP 2.0L 4 Cylinder Engine Plug-In Electric/Gas,Plug-In Hybrid,Transmission w/Dual Shift Mode,Black,Black,None reported,Yes,42000
Audi,R8 5.2 V10,2018,8940,5.2L V10 40V PDI DOHC,Gasoline,7-Speed Automatic with Auto-Shift,Black,Tango Red Metallic,None reported,,144900
Mercedes-Benz,GLK-Class GLK 350,2014,186000,302.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Gasoline,A/T,Beige,Black,At least 1 accident or damage reported,Yes,10000
Toyota,C-HR LE,2021,13180,2.0 Liter,Gasoline,CVT-F,–,–,None reported,,23998
Lexus,IS 350 Base,2014,104000,306.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Gasoline,8-Speed A/T,Black,Black,None reported,Yes,21000
BMW,X4 M40i,2023,8500,382.0HP 3.0L Straight 6 Cylinder Engine Gasoline/Mild Electric Hybrid,Hybrid,Transmission w/Dual Shift Mode,Beige,Gray,None reported,Yes,67900
BMW,M4 CS,2019,19069,3.0 Liter DOHC Turbo,Gasoline,Automatic,Anthracite,Alpine White,None reported,,69998
Cadillac,CT5 Premium Luxury,2023,6090,237.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Gasoline,A/T,Beige,White,None reported,Yes,46900
Lucid,Air Grand Touring,2022,4900,536.0HP Electric Motor Electric Fuel System,,1-Speed A/T,Black,Red,None reported,Yes,99000
Audi,A5 2.0T Premium Plus,2019,47523,248.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Gasoline,Transmission w/Dual Shift Mode,Black,Black,None reported,Yes,31000
Chrysler,300C SRT8,2006,43000,425.0HP 6.1L 8 Cylinder Engine Gasoline Fuel,Gasoline,5-Speed A/T,Black,Silver,At least 1 accident or damage reported,Yes,19995
Bentley,Continental GT W12,2017,14684,582.0HP 6.0L 12 Cylinder Engine Gasoline Fuel,Gasoline,8-Speed A/T,White,White,None reported,Yes,130000
BMW,M4 Base,2019,57800,425.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,Gasoline,Transmission w/Dual Shift Mode,Red,Black,None reported,Yes,55999
Toyota,GR Corolla Circuit Edition,2023,952,300.0HP 1.6L 3 Cylinder Engine Gasoline Fuel,Gasoline,6-Speed M/T,Gray,Silver,None reported,Yes,49950
Audi,RS 5 2.9T,2019,21240,444.0HP 2.9L V6 Cylinder Engine Gasoline Fuel,Gasoline,8-Speed A/T,Black,Black,At least 1 accident or damage reported,Yes,59950
Porsche,Cayenne Base,2019,59338,335.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,Gasoline,Transmission w/Dual Shift Mode,Black,Black,None reported,Yes,42499
Lamborghini,Huracan Tecnica Coupe,2023,255,"5.2L V-10 gasoline direct injection, DOHC, variable valve contro",Gasoline,Automatic,Nero Ade,BLU ELEOS,None reported,,359991
Maserati,Quattroporte S,2019,23230,424.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,Gasoline,8-Speed A/T,Black,Black,None reported,Yes,44999
Jaguar,XF 35t R-Sport,2017,48000,340.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,Gasoline,A/T,Black,Red,At least 1 accident or damage reported,Yes,30000
Lexus,ES 330 Base,2005,41059,225.0HP 3.3L V6 Cylinder Engine Gasoline Fuel,Gasoline,5-Speed A/T,Beige,White,None reported,Yes,11100
Land,Rover Discovery Sport SE R-Dynamic,2020,21240,2.0 Liter,Gasoline,Automatic,Black,White,None reported,,37998
Porsche,Cayman GTS,2015,11500,340.0HP 3.4L Flat 6 Cylinder Engine Gasoline Fuel,Gasoline,7-Speed A/T,–,Silver,None reported,Yes,72000
Genesis,G90 3.3T Premium,2021,9950,365.0HP 3.3L V6 Cylinder Engine Gasoline Fuel,Gasoline,8-Speed A/T,Blue,Silver,None reported,Yes,53950
Volkswagen,Golf R 20th Anniversary Edition,2023,633,315.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Gasoline,6-Speed M/T,Black,White,None reported,Yes,47999
Hyundai,Sonata Hybrid Limited,2015,66000,199.0HP 2.4L 4 Cylinder Engine Gas/Electric Hybrid,Hybrid,A/T,Gray,White,At least 1 accident or damage reported,Yes,15900
Audi,RS 7 4.0T Prestige,2014,59715,560.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,Gasoline,A/T,Black,Gray,At least 1 accident or damage reported,Yes,45000
BMW,740 Li,2012,85252,326.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,Gasoline,6-Speed A/T,Black,Black,None reported,Yes,18500
Mercedes-Benz,GLS 450 Base 4MATIC,2020,17900,362.0HP 3.0L Straight 6 Cylinder Engine Gasoline/Mild Electric Hybrid,Hybrid,9-Speed A/T,Black,Black,At least 1 accident or damage reported,Yes,80000
BMW,M6 Base,2016,25500,560.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,Gasoline,7-Speed A/T,Black,White,None reported,Yes,55000
Subaru,Forester 2.5 X,2004,210703,165.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,Gasoline,M/T,Beige,Green,,,2300
Hyundai,Elantra N Base,2023,3800,276.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Gasoline,6-Speed M/T,Black,White,None reported,Yes,34000
Kia,Niro Plug-In Hybrid EX Premium,2022,36602,1.6L I4 16V GDI DOHC Hybrid,Hybrid,6-Speed Automatic with Auto-Shift,Charcoal,Horizon Blue,None reported,Yes,31995
Rivian,R1S Adventure Package,2023,2800,835.0HP Electric Motor Electric Fuel System,,1-Speed A/T,Green,White,None reported,Yes,92000
Aston,Martin DBS Superleggera,2021,2165,5.2L V12 48V GDI DOHC Twin Turbo,Gasoline,8-Speed Automatic,Black,Black,None reported,Yes,279950
Mercedes-Benz,SLC 300 Base,2018,33000,241.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Gasoline,9-Speed A/T,Black,Red,At least 1 accident or damage reported,Yes,29900
BMW,435 Gran Coupe i,2016,76009,300.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,Gasoline,8-Speed A/T,Beige,White,None reported,Yes,24950
Jeep,Grand Cherokee Summit,2020,31349,5.7L V8 16V MPFI OHV,Gasoline,8-Speed Automatic,Black,Granite Crystal Clearcoat Metallic,None reported,,39366
Lexus,RC 350 Base,2015,48000,306.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Gasoline,Transmission w/Dual Shift Mode,Red,Orange,None reported,Yes,32900
BMW,525 i,2005,91420,215.0HP 2.5L Straight 6 Cylinder Engine Gasoline Fuel,Gasoline,6-Speed A/T,Black,Black,None reported,Yes,8900
Toyota,Corolla LE,2003,124756,130.0HP 1.8L 4 Cylinder Engine Gasoline Fuel,Gasoline,M/T,Beige,Beige,At least 1 accident or damage reported,Yes,4995
Cadillac,CT5-V Blackwing,2023,2415,6.2L V8 16V GDI OHV Supercharged,Gasoline,10-Speed Automatic,Gray,Rift Metallic,None reported,,104900
GMC,Acadia SLT-1,2012,116226,288.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,Gasoline,6-Speed A/T,Black,Black,None reported,Yes,7900
Lexus,LC 500 Base,2020,37869,5.0L V8 32V PDI DOHC,Gasoline,10-Speed Automatic,Rioja Red,Atomic Silver,None reported,,75950
BMW,i8 Base,2019,41500,369.0HP 1.5L 3 Cylinder Engine Plug-In Electric/Gas,Plug-In Hybrid,Transmission w/Dual Shift Mode,Black,White,None reported,Yes,86000
Lexus,ES 300h Base,2013,87001,200.0HP 2.5L 4 Cylinder Engine Gas/Electric Hybrid,Hybrid,CVT Transmission,Beige,Gold,None reported,Yes,17995
Cadillac,CT5-V V-Series,2022,4451,3.0L V6 24V GDI DOHC Twin Turbo,Gasoline,Automatic,Jet Black,Summit White,At least 1 accident or damage reported,Yes,55655
BMW,540 i xDrive,2020,27158,2.0 Liter Turbo,Gasoline,Automatic,Canberra Beige/Black,Imperial Blue Metallic,None reported,,39998
Chevrolet,Express 1500 Work Van,2014,139804,195.0HP 4.3L V6 Cylinder Engine Gasoline Fuel,Gasoline,A/T,Gray,White,At least 1 accident or damage reported,Yes,14500
Jeep,Gladiator Rubicon,2022,27300,285.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,Gasoline,A/T,Black,Green,None reported,Yes,47500
BMW,Z4 sDrive28i,2014,36812,240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Gasoline,Transmission w/Dual Shift Mode,Beige,White,None reported,Yes,27000
Land,Rover LR4 HSE LUX Landmark Edition,2016,144000,340.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,Gasoline,8-Speed A/T,Black,Black,At least 1 accident or damage reported,Yes,18000
Cadillac,XT4 Sport,2019,44500,237.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Gasoline,9-Speed A/T,White,Blue,None reported,Yes,28900
BMW,750 750i xDrive,2021,10917,4.4 Liter Twin Turbo,Gasoline,Automatic,Black,Black,None reported,,73998
Bentley,Arnage R,2005,8332,400.0HP 6.75L 8 Cylinder Engine Gasoline Fuel,Gasoline,4-Speed A/T,Beige,White,None reported,Yes,47350
Lincoln,Aviator Reserve AWD,2020,51247,3.0 Liter GTDI,Gasoline,Automatic,Roast,Magnetic Gray Clearcoat,None reported,,47698
Mercedes-Benz,AMG GL AMG GL 63 4MATIC,2016,69000,550.0HP 5.5L 8 Cylinder Engine Gasoline Fuel,Gasoline,Transmission w/Dual Shift Mode,Brown,Black,None reported,Yes,36500
RAM,ProMaster 3500 High Roof,2021,147834,3.6L V6 24V MPFI DOHC,Gasoline,6-Speed Automatic,Black,Bright White Clearcoat,None reported,Yes,32662
Ford,Utility Police Interceptor Base,2013,105000,300.0HP 3.7L V6 Cylinder Engine Flex Fuel Capability,E85 Flex Fuel,A/T,Black,White,At least 1 accident or damage reported,Yes,6600
Audi,A5 2.0T Premium,2011,92203,211.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Gasoline,Transmission w/Dual Shift Mode,Beige,Red,None reported,Yes,9995
Nissan,GT-R Premium,2010,15600,485.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,Gasoline,Transmission w/Dual Shift Mode,Black,White,None reported,Yes,69500
Land,Rover Range Rover Sport 3.0L Supercharged HSE,2018,104700,V6,Gasoline,Automatic,Ivory / Ebony,Fuji White,At least 1 accident or damage reported,,30775
Toyota,Corolla LE,2010,72348,132.0HP 1.8L 4 Cylinder Engine Gasoline Fuel,Gasoline,A/T,Gray,Red,At least 1 accident or damage reported,Yes,9995
Rivian,R1S Adventure Package,2023,2500,835.0HP Electric Motor Electric Fuel System,,A/T,White,Green,None reported,Yes,94000
Mercedes-Benz,C-Class C300 4MATIC,2022,13177,2.0 Liter Turbo,Gasoline,Automatic,Silk Beige/Black,White,None reported,,44798
Porsche,Cayenne E-Hybrid S,2016,96000,416.0HP 3.0L V6 Cylinder Engine Plug-In Electric/Gas,Plug-In Hybrid,Transmission w/Dual Shift Mode,Red,White,At least 1 accident or damage reported,Yes,23000
Chevrolet,Express 1500 Work Van,2011,93009,5.3L V8 16V MPFI OHV Flexible Fuel,E85 Flex Fuel,4-Speed Automatic,Medium Pewter,Summit White,None reported,Yes,22495
INFINITI,Q70h Base,2016,52750,360.0HP 3.5L V6 Cylinder Engine Gas/Electric Hybrid,Hybrid,7-Speed A/T,Black,White,At least 1 accident or damage reported,Yes,28998
Audi,A7 Premium Plus,2020,25361,3.0 Liter Turbo,Hybrid,Automatic,Black,Typhoon Gray,None reported,,49998
Audi,Q7 3.0T Premium Plus,2015,98527,280.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,Gasoline,8-Speed A/T,Black,Black,,,9995
Lucid,Air Pure,2023,1300,620.0HP Electric Motor Electric Fuel System,,A/T,Gray,Black,,,86900
Chrysler,Pacifica Touring,2017,87305,–,–,9-Speed A/T,Black,Silver,None reported,Yes,9000
Audi,TTS 2.0T Premium Plus,2012,72922,265.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Gasoline,6-Speed A/T,Black,White,,,25999
BMW,650 Gran Coupe i xDrive,2015,41000,445.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,Gasoline,8-Speed A/T,Black,Black,None reported,Yes,30000
Subaru,Forester Premium,2021,42125,2.5L H4 16V GDI DOHC,Gasoline,Automatic CVT,Black,Crystal Black Silica,None reported,Yes,27899
Mercedes-Benz,AMG C AMG C 63,2016,62000,469.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,Gasoline,Transmission w/Dual Shift Mode,Black,Black,None reported,Yes,40000
Land,Rover LR3 HSE,2006,153843,300.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,Gasoline,6-Speed A/T,Beige,Red,At least 1 accident or damage reported,Yes,9950
BMW,X7 xDrive40i,2019,35248,3.0 Liter Twin Turbo,Gasoline,Automatic,Black,Arctic Gray Metallic,None reported,,53998
Ford,Transit Connect XLT,2015,194454,169.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,Gasoline,6-Speed A/T,Black,White,None reported,Yes,9888
Lexus,LX 570 Three-Row,2021,21000,383.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,Gasoline,Transmission w/Dual Shift Mode,Black,White,None reported,Yes,89999
Porsche,911 Carrera S,2013,18494,400.0HP 3.8L Flat 6 Cylinder Engine Gasoline Fuel,Gasoline,7-Speed M/T,Black,Black,,,86900
Dodge,Ram 2500 Laramie Quad Cab,2006,218000,330.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,Gasoline,4-Speed A/T,Gray,Red,None reported,Yes,12990
Nissan,Armada SL,2021,67800,400.0HP 5.6L 8 Cylinder Engine Gasoline Fuel,Gasoline,7-Speed A/T,Black,Silver,At least 1 accident or damage reported,Yes,36500
Porsche,Cayman Base,2014,79000,275.0HP 2.7L Flat 6 Cylinder Engine Gasoline Fuel,Gasoline,Transmission w/Dual Shift Mode,Black,Red,At least 1 accident or damage reported,Yes,42999
Mercedes-Benz,GLE 450 GLE 450,2022,24906,3.0 Liter Turbo,Hybrid,Automatic,Black,Selenite Grey Metallic,None reported,,63998
Chevrolet,Monte Carlo SS,2006,66840,303.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,Gasoline,A/T,Gray,White,At least 1 accident or damage reported,Yes,12000
BMW,M5 Base,2013,86000,560.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,Gasoline,Transmission w/Dual Shift Mode,White,Blue,None reported,Yes,32000
Hyundai,Kona N Base,2023,654,2.0L I4 16V GDI DOHC Turbo,Gasoline,8-Speed Automatic with Auto-Shift,Black,Ultra Black,None reported,Yes,34599
Chevrolet,Monte Carlo SS,2005,75000,240.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,Gasoline,A/T,Black,Black,None reported,Yes,12500
Land,Rover Range Rover Evoque Pure,2015,84000,240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Gasoline,9-Speed A/T,Black,Beige,At least 1 accident or damage reported,Yes,22800
Audi,S7 4.0T Premium Plus,2017,52500,450.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,Gasoline,Transmission w/Dual Shift Mode,Gray,Gray,None reported,Yes,39999
GMC,Acadia SLT-1,2011,120000,288.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,Gasoline,6-Speed A/T,Gray,Silver,None reported,Yes,7500
Alfa,Romeo Stelvio Ti Sport,2020,18665,2.0L I4 16V GDI SOHC Turbo,Gasoline,8-Speed Automatic,Ice,Lunare White Metallic,None reported,Yes,35645
Ferrari,FF Base,2016,19987,651.0HP 6.3L 12 Cylinder Engine Gasoline Fuel,Gasoline,7-Speed A/T,Brown,Black,None reported,Yes,149900
Kia,K900 5.0L,2017,36486,420.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,Gasoline,8-Speed A/T,Beige,Black,At least 1 accident or damage reported,Yes,23950
Ford,E150 XLT,2013,162100,255.0HP 5.4L 8 Cylinder Engine Flex Fuel Capability,E85 Flex Fuel,4-Speed A/T,Gray,Black,None reported,Yes,12500
Tesla,Model 3 Performance,2022,13079,455.0HP Electric Motor Electric Fuel System,,A/T,White,Black,None reported,Yes,47000
Toyota,4Runner SR5,2022,28377,4.0L V6 24V MPFI DOHC,Gasoline,5-Speed Automatic,Gray,Silver,None reported,,36999
Subaru,Forester Base,2020,32744,182.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,Gasoline,CVT Transmission,Gray,Black,None reported,Yes,24000
Porsche,Panamera 2,2012,54000,300.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,Gasoline,A/T,–,White,At least 1 accident or damage reported,Yes,26000
Toyota,Tacoma PreRunner,2008,202055,236.0HP 4.0L V6 Cylinder Engine Gasoline Fuel,Gasoline,A/T,Gray,Silver,At least 1 accident or damage reported,Yes,8500
RAM,2500 Laramie,2019,65000,370.0HP 6.7L Straight 6 Cylinder Engine Diesel Fuel,Diesel,6-Speed A/T,Black,Black,None reported,Yes,65000
Kia,Sportage Nightfall,2022,9686,2.4L I4 16V GDI DOHC,Gasoline,6-Speed Automatic,Black,Hyper Red,None reported,Yes,30990
Cadillac,DTS Base,2010,49620,275.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,Gasoline,A/T,Gray,White,None reported,Yes,10499
Toyota,Land Cruiser Base,1997,213000,212.0HP 4.5L Straight 6 Cylinder Engine Gasoline Fuel,Gasoline,4-Speed A/T,Beige,White,None reported,Yes,26500
Nissan,GT-R Premium,2020,16010,565.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,Gasoline,A/T,Black,White,None reported,Yes,114000
Lexus,NX 350 F SPORT Handling,2023,820,2.4 Liter,Gasoline,8-SPEED AT,Black,Black,None reported,,51998
Audi,Q7 45 Premium Plus,2021,68000,248.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Gasoline,8-Speed A/T,Black,Blue,None reported,Yes,36499
